Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,Talmud Torah Bobov Primary School,Boys,Hackney,,N16 6UE,13,2,87 Egerton Road,London,Other Independent School,533958,187920
,,T T T Y Y School,Boys,Hackney,,N16 5NH,13,2,14 Heathland Road,London,Other Independent School,533064,187207
,,Tayyibah Girls' School,Girls,Hackney,Stamford Hill,N16 6JJ,18,4,88 Filey Avenue,London,Other Independent School,534460,187173
,,Paragon Christian Academy,Mixed,Hackney,Hackney,E5 0JP,18,4,233-241 Glyn Road,London,Other Independent School,535773,185881
,,River House Montessori School,Mixed,Tower Hamlets,3 Millharbour,E14 9XP,14,3,Unit C Great Eastern Enterprise Centre,London,Other Independent School,537643,179702
,,Stormont House School,Mixed,Hackney,,E5 8NP,16,11,Downs Park Road,London,Community Special School,534568,185541
,,Downsview School,Mixed,Hackney,Downs Road,E5 8QP,11,4,Tiger Way,London,Community Special School,534610,185902
,,Horizon School,Mixed,Hackney,,N16 8BZ,16,5,Wordsworth Road,London,Community Special School,533294,185654
,,Ickburgh School,Mixed,Hackney,Clapton,E5 8AD,19,2,Ickburgh Road,London,Community Special School,534648,186397
,,Randolph Beresford Early Years Centre,Mixed,Hammersmith and Fulham,White City,W12 7PH,5,3,Australia Road,London,LA Nursery School,522759,180583
,,Vanessa Nursery School,Mixed,Hammersmith and Fulham,,W12 9JA,5,3,14 Cathnor Road,London,LA Nursery School,522645,179588
,,James Lee Nursery School,Mixed,Hammersmith and Fulham,,W14 9BH,5,3,Gliddon Road,London,LA Nursery School,524114,178545
,,Bayonne Nursery School,Mixed,Hammersmith and Fulham,,W6 8PF,5,3,50 Paynes Walk,London,LA Nursery School,524079,177674
,,The Bridge Academy,Mixed,Hammersmith and Fulham,,SW6 6HB,16,11,Finlay Street,London,Pupil Referral Unit,523727,176629
,,Addison Primary School,Mixed,Hammersmith and Fulham,Blythe Road,W14 0DT,11,3,Addison Gardens,London,Community School,523706,179379
,,Avonmore Primary School,Mixed,Hammersmith and Fulham,,W14 8SH,11,3,Avonmore Road,London,Community School,524403,178848
,,Brackenbury Primary School,Mixed,Hammersmith and Fulham,Hammersmith,W6 0BA,11,3,Dalling Road,London,Community School,522760,179365
,,Canberra Primary School,Mixed,Hammersmith and Fulham,,W12 7PT,11,3,Australia Road,London,Foundation School,522938,180698
,,Miles Coverdale Primary School,Mixed,Hammersmith and Fulham,Shepherds Bush,W12 8JJ,11,3,Coverdale Road,London,Community School,523026,179840
,,Flora Gardens Primary School,Mixed,Hammersmith and Fulham,,W6 0UD,11,3,Dalling Road,London,Community School,522590,178797
,,Fulham Primary School,Mixed,Hammersmith and Fulham,,SW6 1JU,11,3,Halford Road,London,Community School,525224,177604
,,New King's Primary School,Mixed,Hammersmith and Fulham,Fulham,SW6 4LY,11,3,New King's Road,London,Community School,524737,176318
,,Kenmont Primary School,Mixed,Hammersmith and Fulham,,NW10 6AL,11,3,Valliere Road,London,Community School,522501,182898
,,Langford Primary School,Mixed,Hammersmith and Fulham,Fulham,SW6 2LG,11,3,Gilstead Road,London,Community School,525887,176415
,,Lena Gardens Primary School,Mixed,Hammersmith and Fulham,,W6 7PZ,11,3,Lena Gardens,London,Community School,523316,179271
,,Melcombe Primary School,Mixed,Hammersmith and Fulham,,W6 9ER,11,3,Fulham Palace Road,London,Community School,523607,177859
,,Old Oak Primary School,Mixed,Hammersmith and Fulham,East Acton,W12 0AS,11,3,Mellitus Street,London,Community School,521948,181361
,,Queen's Manor School and Special Needs Unit,Mixed,Hammersmith and Fulham,,SW6 6ND,11,3,Lysia Street,London,Community School,523582,177153
,,Sir John Lillie Primary School,Mixed,Hammersmith and Fulham,,SW6 7LN,11,3,Lillie Road,London,Community School,524416,177532
,,Sulivan Primary School,Mixed,Hammersmith and Fulham,,SW6 3BN,11,3,Peterborough Road,London,Community School,525155,176169
,,Wendell Park Primary School,Mixed,Hammersmith and Fulham,,W12 9LB,11,3,Cobbold Road,London,Community School,521631,179719
,,Wormholt Park Primary School,Mixed,Hammersmith and Fulham,,W12 0SR,11,3,Bryony Road,London,Community School,522318,180664
,,Greenside Primary School,Mixed,Hammersmith and Fulham,Hammersmith,W12 9PT,11,3,Westville Road,London,Community School,522430,179776
,,All Saints CofE Primary School,Mixed,Hammersmith and Fulham,Fulham,SW6 6ED,11,3,Bishops Avenue,London,Voluntary Aided School,524167,176390
,,Holy Cross RC School,Mixed,Hammersmith and Fulham,,SW6 4BL,11,3,Basuto Road,London,Voluntary Aided School,525175,176754
,,John Betts Primary School,Mixed,Hammersmith and Fulham,,W6 0UA,11,5,Paddenswick Road,London,Voluntary Aided School,522568,179018
,,St Augustine's RC Primary School,Mixed,Hammersmith and Fulham,,W6 8QE,11,5,Disbrowe Road,London,Voluntary Aided School,524414,177667
,,St Johns Walham Green Church of England Primary School,Mixed,Hammersmith and Fulham,Fulham,SW6 6AS,11,3,Filmer Road,London,Voluntary Aided School,524468,176864
,,St Mary's Catholic Primary School,Mixed,Hammersmith and Fulham,,W14 0LT,11,3,Masbro Road,London,Voluntary Aided School,523932,179282
,,St Paul's CofE Primary School,Mixed,Hammersmith and Fulham,,W6 9BP,11,3,Worlidge Street,London,Voluntary Aided School,523176,178344
,,St Peter's Primary School,Mixed,Hammersmith and Fulham,Hammersmith,W6 9BA,11,3,St Peter's Road,London,Voluntary Aided School,522274,178492
,,St Stephen's CofE Primary School,Mixed,Hammersmith and Fulham,,W12 8LH,11,4,Uxbridge Road,London,Voluntary Aided School,523106,180001
,,Good Shepherd RC Primary School,Mixed,Hammersmith and Fulham,,W12 9BY,11,3,35 Gayford Road,London,Voluntary Aided School,521890,179649
,,Pope John RC School,Mixed,Hammersmith and Fulham,,W12 7QR,11,3,Commonwealth Avenue,London,Voluntary Aided School,522736,180735
,,St Thomas of Canterbury Catholic Primary School,Mixed,Hammersmith and Fulham,Fulham,SW6 7HB,11,4,Estcourt Road,London,Voluntary Aided School,524581,177345
,,Phoenix High School,Mixed,Hammersmith and Fulham,,W12 0RQ,18,11,The Curve,London,Foundation School,522377,180823
,,Hurlingham and Chelsea Secondary School,Mixed,Hammersmith and Fulham,Fulham,SW6 3ED,16,11,Peterborough Road,London,Community School,525368,175859
,,St Paul's Girls' School,Girls,Hammersmith and Fulham,,W6 7BS,19,10,Brook Green,London,Other Independent School,523743,178859
Oldfield Road,Middlesex,Corona Theatre School,Mixed,Richmond upon Thames,Kingsway Business Park,TW12 2HD,19,7,The Gatehouse,Hampton,Other Independent School,512858,169744
,,Bute House Preparatory School,Girls,Hammersmith and Fulham,Hammersmith,W6 7EA,11,4,Luxemburg Gardens,London,Other Independent School,523536,178930
,,The Godolphin and Latymer School,Girls,Hammersmith and Fulham,Hammersmith,W6 0PG,18,11,Iffley Road,London,Other Independent School,522972,178861
,,Latymer Upper School,Mixed,Hammersmith and Fulham,Hammersmith,W6 9LR,19,7,237 King Street,London,Other Independent School,522457,178593
,,Ecole Francaise Jacques Prevert,Mixed,Hammersmith and Fulham,,W6 7BE,11,3,59 Brook Green,London,Other Independent School,523811,178942
,,Al-Muntada Islamic School,Mixed,Hammersmith and Fulham,Off Parsons Green Lane,SW6 4HW,16,4,7 Bridges Place,London,Other Independent School,524991,176794
,,Ravenscourt Park Preparatory School,Mixed,Hammersmith and Fulham,Ravenscourt Park,W6 0SL,10,5,16 Ravenscourt Avenue,London,Other Independent School,522386,178711
,,Sinclair House School,Mixed,Hammersmith and Fulham,Fulham,SW6 6DA,9,2,159 Munster Road,London,Other Independent School,524356,176939
,,L'Ecole des Petits School,Mixed,Hammersmith and Fulham,,SW6 2NB,6,3,2 Hazlebury Road,London,Other Independent School,525738,176341
,,Le Herisson School,Mixed,Hammersmith and Fulham,,W6 9JT,6,2,"Rivercourt Methodist Church, King Street",London,Other Independent School,522559,178561
,,Queensmill School,Mixed,Hammersmith and Fulham,Fulham,SW6 3AA,19,3,Clancarty Road,London,Community Special School,525419,176228
,,Woodlane High School,Mixed,Hammersmith and Fulham,Hammersmith,W12 0TN,16,11,Du Cane Road,London,Community Special School,522820,181248
,,Jack Tizard School,Mixed,Hammersmith and Fulham,,W12 7PA,19,2,South Africa Road,London,Community Special School,522684,180419
,,Cambridge School,Mixed,Hammersmith and Fulham,White City,W12 0SP,16,11,"61, Bryony Rd",London,Community Special School,522891,178876
,,Margaret McMillan Nursery School,Mixed,Islington,,N19 3SF,5,3,Hornsey Rise,London,LA Nursery School,529985,187573
,,Kate Greenaway Nursery School and Children's Centre,Mixed,Islington,Copenhagen Street,N1 0UH,5,3,Yorkway Court,London,LA Nursery School,530441,183608
,,North Islington Nursery School,Mixed,Islington,,N4 3RB,5,3,110 Tollington Park,London,LA Nursery School,530859,186986
Islington,,New River College KS3 PRU,Mixed,Islington,,N19 4AB,14,11,5 Elthorne Road,London,Pupil Referral Unit,529580,186846
,,Paradise Park Pupil Referral Unit,Mixed,Islington,,N1 0HY,11,5,Dowrey Street,London,Pupil Referral Unit,531243,183843
,,New River College KS4,Mixed,Islington,,N1 0HY,16,14,Lough Road,London,Pupil Referral Unit,531243,183843
,,Ambler Primary School,Mixed,Islington,Finsbury Park,N4 2DR,11,3,Blackstock Road,London,Community School,531678,186560
,,Copenhagen Primary School,Mixed,Islington,,N1 0WF,11,3,Treaty Street,London,Community School,530584,183537
Highbury,,Drayton Park Primary School,Mixed,Islington,,N5 1PJ,11,3,Arvon Road,London,Community School,531433,185329
,,Duncombe Primary School,Mixed,Islington,Islington,N19 4JA,11,3,Sussex Way,London,Community School,530146,187006
,,Gillespie Primary School,Mixed,Islington,,N5 1LH,11,3,Gillespie Road,London,Community School,531802,186280
,,Grafton Primary School,Mixed,Islington,Holloway,N7 6AR,11,3,Eburne Road,London,Community School,530483,186145
,,Hanover Primary School,Mixed,Islington,Islington,N1 8BD,11,3,Noel Road,London,Community School,531982,183273
,,Hargrave Park Primary School,Mixed,Islington,,N19 5BS,11,3,51 Bredgar Road,London,Community School,529082,186622
,,Laycock Primary School,Mixed,Islington,Upper Street,N1 1SW,11,3,Laycock Street,London,Community School,531535,184551
,,Moreland Primary School,Mixed,Islington,Goswell Road,EC1V 8BB,11,3,Moreland Street,London,Community School,531942,182766
,,Pakeman Primary School,Mixed,Islington,,N7 6DU,11,3,Hornsey Road,London,Community School,530838,186121
,,Robert Blair Primary School,Mixed,Islington,Islington,N7 9QJ,11,3,Brewery Road,London,Community School,530342,184544
,,Thornhill Primary School,Mixed,Islington,,N1 1HX,11,3,Thornhill Road,London,Community School,531173,184131
,,Vittoria Primary School,Mixed,Islington,Islington,N1 0TJ,11,3,Half Moon Crescent,London,Community School,530952,183516
,,Winton Primary School,Mixed,Islington,Pentonville Road,N1 9AZ,11,3,Killick Street,London,Community School,530634,183172
,,Yerbury Primary School,Mixed,Islington,Yerbury Road,N19 4RR,11,3,Foxham Road,London,Community School,529695,186359
,,Tufnell Park Primary School,Mixed,Islington,,N7 0HJ,11,3,Dalmeny Road,London,Community School,529772,185609
,,Highbury Quadrant Primary School,Mixed,Islington,,N5 2DP,11,3,Highbury New Park,London,Community School,532387,185620
,,Ashmount Primary School,Mixed,Islington,83 Crouch Hill,N8 9EG,11,3,Crouch Hill Park,London,Community School,530090,187755
,,Prior Weston Primary School and Children's Centre,Mixed,Islington,,EC1Y 8JA,11,3,101 Whitecross Street,London,Community School,532376,182029
,,Hungerford Primary School and Children's Centre,Mixed,Islington,Islington,N7 9LF,11,3,Hungerford Road,London,Community School,529995,184974
,,Clerkenwell Parochial CofE Primary School,Mixed,Islington,,EC1R 1UN,11,4,Amwell Street,London,Voluntary Aided School,531189,182756
,,Sacred Heart RC Primary School,Mixed,Islington,Holloway,N7 8JN,11,3,68 Georges Road,London,Voluntary Aided School,530896,185179
,,St John Evangelist RC Primary School,Mixed,Islington,Islington High Street,N1 8BL,11,3,Duncan Street,London,Voluntary Aided School,531600,183377
,,St John's Upper Holloway CofE Primary School,Mixed,Islington,Holloway Road,N19 5RR,11,3,Pemberton Gardens,London,Voluntary Aided School,529508,186512
,,St John's Highbury Vale CofE Primary School,Mixed,Islington,Blackstock Road,N5 1DL,11,4,Conewood Street,London,Voluntary Aided School,531758,186077
,,St Joseph's RC Primary School,Mixed,Islington,Highgate,N19 5NE,11,3,Highgate Hill,London,Voluntary Aided School,528892,187162
,,St Jude and St Paul's CofE Primary School,Mixed,Islington,Islington,N1 4AZ,11,4,10 Kingsbury Road,London,Voluntary Aided School,533263,184936
,,St Luke's CofE Primary School,Mixed,Islington,,EC1V 3SJ,11,3,Radnor Street,London,Voluntary Aided School,532463,182576
,,St Mark's CofE Primary School,Mixed,Islington,,N19 4JF,11,4,Sussex Way,London,Voluntary Aided School,530342,186726
,,St Mary's CofE Primary School,Mixed,Islington,Islington,N1 2EP,11,4,Fowler Road,London,Voluntary Aided School,531845,184012
,,St Peter and St Paul RC Primary School,Mixed,Islington,Goswell Road,EC1V 0EU,11,3,Compton Street,London,Voluntary Aided School,531847,182367
Islington,,St Andrew's (Barnsbury) Church of England Primary School,Mixed,Islington,,N1 0LB,11,4,Matilda Street,London,Voluntary Aided School,530855,183827
,,St Joan of Arc RC Primary School,Mixed,Islington,Highbury Park,N5 2UX,11,3,Northolme Road,London,Voluntary Aided School,532024,185906
,,Christ The King RC Primary School,Mixed,Islington,,N4 3QW,11,3,55 Tollington Park,London,Voluntary Aided School,530746,186961
,,Blessed Sacrament RC Primary School,Mixed,Islington,Kings Cross,N1 0UF,11,3,Boadicea Street,London,Voluntary Aided School,530554,183629
,,Highbury Grove School,Mixed,Islington,,N5 2EQ,18,11,8 Highbury Grove,London,Community School,531981,185153
,,Holloway School,Mixed,Islington,,N7 0JG,16,11,Hilldrop Road,London,Community School,529750,185518
,,Highbury Fields School,Girls,Islington,,N5 1AR,18,11,Highbury Hill,London,Community School,531721,185476
,,Elizabeth Garrett Anderson Language College,Girls,Islington,Islington,N1 9QG,16,11,Donegal Street,London,Community School,531007,183248
,,Central Foundation Boys' School,Boys,Islington,City Road,EC2A 4SH,18,11,Cowper Street,London,Voluntary Aided School,532888,182441
,,St Aloysius RC College,Boys,Islington,Highgate,N6 5LY,18,11,Hornsey Lane,London,Voluntary Aided School,529090,187296
,,Mount Carmel RC Technology College for Girls,Girls,Islington,Duncombe Road,N19 3EU,16,11,Holland Walk,London,Voluntary Aided School,529728,187094
,,Italia Conti Academy of Theatre Arts,Mixed,Islington,,EC1M 7AJ,16,10,23 Goswell Road,London,Other Independent School,532064,182084
,,Dallington School,Mixed,Islington,,EC1V 0BW,11,3,8 Dallington Street,London,Other Independent School,531874,182346
,,The Charterhouse Square School,Mixed,City of London,,EC1M 6EA,11,3,40 Charterhouse Square,London,Other Independent School,531998,181875
,,Richard Cloudesley PH School,Mixed,Islington,1 Prebend Street,N1 8RE,19,2,Tudor Rose Building,London,Community Special School,532218,182247
Islington,,Samuel Rhodes MLD School,Mixed,Islington,,N5 2EG,16,5,11 Highbury New Park,London,Community Special School,531243,183843
,,Golborne Children's Centre,Mixed,Kensington and Chelsea,North Kensington,W10 5TN,5,3,2a Bevington Road,London,LA Nursery School,524508,181712
,,St Anne's Nursery School,Mixed,Kensington and Chelsea,,W10 6TT,5,3,Freston Road,London,LA Nursery School,523612,180946
,,Chelsea Open Air Nursery School and Children's Centre,Mixed,Kensington and Chelsea,Chelsea,SW3 5JE,5,3,51 Glebe Place,London,LA Nursery School,527203,177835
,,Maxilla Nursery School,Mixed,Kensington and Chelsea,Off Kingsdown Close,W10 6NQ,5,3,4 Maxilla Walk,London,LA Nursery School,523883,181209
,,The Latimer Education Centre/Pupil Referral Unit,Mixed,Kensington and Chelsea,Latimer Road Station,W10 6TT,18,5,194 Freston Road,London,Pupil Referral Unit,523612,180946
,,Ashburnham Community School,Mixed,Kensington and Chelsea,,SW10 0DT,11,3,17 Blantyre Street,London,Community School,526554,177396
,,Barlby Primary School,Mixed,Kensington and Chelsea,Ladbroke Grove,W10 6BH,11,3,Barlby Road,London,Community School,523831,181997
,,Bevington Primary School,Mixed,Kensington and Chelsea,,W10 5TW,11,3,Bevington Road,London,Community School,524414,181794
,,Bousfield Primary School,Mixed,Kensington and Chelsea,,SW5 0DJ,11,3,South Bolton Gardens,London,Community School,526029,178368
,,Colville Primary School,Mixed,Kensington and Chelsea,Portobello Road,W11 2DF,11,3,Lonsdale Road,London,Community School,524779,181067
,,Fox Primary School,Mixed,Kensington and Chelsea,,W8 7PP,11,4,Kensington Place,London,Community School,525233,180251
,,Marlborough Primary School,Mixed,Kensington and Chelsea,,SW3 3AP,11,3,Draycott Avenue,London,Community School,527432,178683
,,Middle Row Primary School,Mixed,Kensington and Chelsea,,W10 5DB,11,3,Kensal Road,London,Community School,524136,182280
,,Oxford Gardens Primary School,Mixed,Kensington and Chelsea,,W10 6NF,11,3,Oxford Gardens,London,Community School,523676,181272
Chelsea,,Park Walk Primary School,Mixed,Kensington and Chelsea,King's Road,SW10 0AY,11,3,Park Walk,London,Community School,526612,177707
,,Avondale Park Primary School,Mixed,Kensington and Chelsea,,W11 4EE,11,3,Sirdar Road,London,Community School,524052,180593
,,Thomas Jones Primary School,Mixed,Kensington and Chelsea,,W11 1RQ,11,3,St Mark's Road,London,Community School,524214,181162
,,Christ Church CofE Primary School,Mixed,Kensington and Chelsea,,SW3 4AA,11,5,1 Robinson Street,London,Voluntary Aided School,527556,177871
